ingredient_id,display_name,category,subcategory,product_form,active,approved_for_base,approved_for_engines,technical_composition_complete,missing_technical_fields,pod_pac_inputs_complete,provenance_status,source_confidence,source_type,process_status,dosage_known,price_known,mapper_reference_product_id,product_version_id,current_binding_id,current_product_behavior_state,current_main_policy_status,current_binding_status,current_picker_status,searchable_before,searchable_after,selectable_before,selectable_after,base_addable_before,base_addable_after,pi_calculable_before,pi_calculable_after,current_block_reason,final_block_reason,correction_action
PI-ING-000001,ADVOCAAT LIQUEUR 15% · Liqueur,alcohol,liqueur,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,deed1d53-cfe1-2109-95f6-e910075ccf41,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_SCIENCE,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000002,APEROL · Italian Aperitif · 11% Vol,alcohol,aperitif,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified / PI Calculated,96,Official Campari Group nutrition + PI calculation,COLD_PROCESS_OK,TRUE,FALSE,3483bf13-e0f2-1440-e1b3-2ca3455513b5,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_SCIENCE,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,ECO_COST:price_missing,Technical PI allowed; add a valid private/reference price for complete ECO cost
PI-ING-000003,BAILEYS ORIGINAL · Irish Cream Liqueur · 17% Vol,alcohol,liqueur,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,99,Official Baileys nutrition per 100 ml,COLD_PROCESS_OK,TRUE,TRUE,e27df4f5-c612-298b-a2bf-bf0e1ead58e4,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_SCIENCE,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000004,BEER LAGER 2.6% · Beer,alcohol,beer,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,93e82ee3-2805-7979-db0d-27aea1b7eace,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_SCIENCE,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000005,BEER LAGER 4.4% · Beer,alcohol,beer,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,32c35f31-df2b-b209-b826-73b0fc5eb375,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_SCIENCE,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000006,BEER STRONG 7.6% · Beer,alcohol,beer,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,adf44734-52c6-4af9-d83e-9cc9400bb181,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_SCIENCE,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000007,BRANDY 36% · Spirit,alcohol,spirit,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,253b3021-704b-9dc5-bc86-fa08ef3e5475,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_SCIENCE,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000008,FRUTTI DI BOSCO · Babbi Crumble · 1300116,bakery,bakery_component,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,9cad243f-14f1-7c37-0e79-95a84a819429,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:UNKNOWN_REQUIRES_EVIDENCE:BLOCKED_DATA,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000009,CARAMEL · Stella Crumble · 8943,bakery,bakery_component,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,a6444baf-1d80-77fd-d4e3-3e947eda5bf8,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:UNKNOWN_REQUIRES_EVIDENCE:BLOCKED_DATA,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000010,BURRO · Babbi Crumble · 1300112,bakery,bakery_component,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,24f5ce05-7634-41ee-cac0-3bc0aa6d9ff7,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:UNKNOWN_REQUIRES_EVIDENCE:BLOCKED_DATA,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000011,CARAMELLO · Babbi Crumble · 1300110,bakery,bakery_component,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,efb38d6e-da01-8754-ba3e-8bec427d2468,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:UNKNOWN_REQUIRES_EVIDENCE:BLOCKED_DATA,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000012,CLASSIC · PreGel Crumble · ST-64422,bakery,bakery_component,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,2feb2806-69d4-e5a4-32f2-a47aa611ddf2,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:UNKNOWN_REQUIRES_EVIDENCE:BLOCKED_DATA,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000013,CLASSIC · PreGel Crumble · Gluten-Free · ST-66622,bakery,bakery_component,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,4b1f6174-b869-a337-538c-46bbf07d3d26,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:UNKNOWN_REQUIRES_EVIDENCE:BLOCKED_DATA,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000014,RED BERRIES · PreGel Crumble · ST-61442,bakery,bakery_component,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,1513f26c-aa43-e902-bcc8-6a991da25541,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:UNKNOWN_REQUIRES_EVIDENCE:BLOCKED_DATA,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000015,LEMON · PreGel Crumble · ST-95222,bakery,bakery_component,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,7bc74a76-fddd-568f-3bee-99078a81fa23,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:UNKNOWN_REQUIRES_EVIDENCE:BLOCKED_DATA,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000016,OTTO CARAMEL · PreGel Crumble · ST-65542,bakery,bakery_component,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,1ce2b63a-9b9e-a613-2bbf-e7e138966943,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:UNKNOWN_REQUIRES_EVIDENCE:BLOCKED_DATA,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000017,PISTACHIO · PreGel Crumble · Gluten-Free · ST-23822,bakery,bakery_component,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,b096425d-87f1-f787-83dd-dbe7ee148726,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:UNKNOWN_REQUIRES_EVIDENCE:BLOCKED_DATA,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000018,COCOA · PreGel Crumble · ST-64922,bakery,bakery_component,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,67b4d1e9-0720-f03e-ff4a-5e0dad178f8e,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:UNKNOWN_REQUIRES_EVIDENCE:BLOCKED_DATA,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000019,EXTRA DRY SPARKLING WINE · Prosecco,alcohol,prosecco,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,6f677388-a069-0481-4643-1c4a86206856,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_SCIENCE,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000020,CREAM ZABAIONE MARSALA FLORIO · Stella Marsala · 8537,alcohol,marsala,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,af548253-4324-4ec8-56c9-c89e65533d77,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_SCIENCE,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000021,JOYCREAM CRUMBLE 5 · Irca Crumble · 01011427,bakery,bakery_component,UNRESOLVED,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,67641796-29f8-f068-56b6-8544a7b85df1,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:UNKNOWN_REQUIRES_EVIDENCE:BLOCKED_DATA,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000022,LIQUEUR COFFEE CREAM · Liqueur,alcohol,liqueur,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,5780aa2a-412c-194b-5621-d64c14a6bb8a,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_SCIENCE,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000023,LIQUEUR COFFEE · Liqueur,alcohol,liqueur,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,31c1742a-abc4-8a53-ccf5-19e3e6cdcdf3,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_SCIENCE,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000024,LIQUEUR CURACAO · Liqueur,alcohol,liqueur,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,8ffc91eb-4152-b17d-73b6-e1406ea569a4,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_SCIENCE,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000025,MALAGA MARSALA · Fabbri Marsala · 0004302,alcohol,marsala,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,ab898324-fad8-c2b7-d2cc-bc9c66dd9794,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_DATA,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000026,MALIBU ORIGINAL · Coconut Flavoured Rum Liqueur · 21% Vol,alcohol,liqueur,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,99,Official Pernod Ricard nutrition per 100 ml,COLD_PROCESS_OK,TRUE,TRUE,07e7d2d4-3982-d6e8-b8ee-f6188fb70f36,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_SCIENCE,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000027,MARSALA WINE DOLCE 18% · Fortified Wine,alcohol,fortified_wine,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,f350d9cc-6c3c-6960-1f1e-8495c95089ac,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_SCIENCE,BLOCKED_SCIENCE,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
PI-ING-000028,MASCARPONE ZABAIONE CREAM CR · CFC Alcoholic Component,alcohol,alcoholic_component,alcoholic_beverage,TRUE,TRUE,TRUE,TRUE,NONE,TRUE,Verified,98,General,COLD_PROCESS_OK,TRUE,TRUE,33cafc08-5e0a-e038-8daa-e98ecce101a5,PENDING_AUTHENTICATED_STAGING_CAPTURE,PENDING_AUTHENTICATED_STAGING_CAPTURE,AUDIT:MAIN_ALLOWED:BLOCKED_DATA,BLOCKED_DATA,ready,PINGÜINO — SPRAWDZONY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NONE,NONE,NO_ACTION_REQUIRED
