iso2,role,ean,url,html_available,jsonld_nutrition,ingredients_on_page,ingredients_snippet,energy_on_page,fat_on_page
CA,SMP,059000111322,https://www.carnationmilk.ca/en/products/instant-skim,YES,NO,NO,,NO,NO
CA,DEXTROSE,700956300208,https://proteinco.ca/products/dextrose,YES,NO,NO,,NO,NO
DE,MILK,4045500011145,https://www.frischli.de/produkte/index.htm?showproduct=67006&showrange=73333,YES,NO,NO,,YES,NO
DE,CREAM,4070700003058,https://www.hohenloher-molkerei.de/hubfs/website/produkte/Sahne/Datenblatt/35305_Hofgut_Schlagsahne_30_200g.pdf?hsLang=de,YES,NO,NO,,NO,NO
DE,DEXTROSE,4250573301738,https://www.golden-peanut.de/Dextrose-monohydrat-Pulver/11135-01,YES,NO,YES,Ingredients® Golden Naturals® NUR BIO® SWEETme® Zur Kategorie Spezialitäten für Tiere Für Pferde Ergänzungsfuttermittel Einzelfuttermittel Für Hunde &amp; Katzen Menü Deutsch Deutsch English Gesunde K,YES,YES
NO,SMP,8445291393738,https://magnar-eikeland.emo.no/web/ePortal/ctrl?action=showiteminfo&itemNo=170806,YES,NO,NO,,NO,NO
NO,DEXTROSE,5709286720064,https://www.med24.no/matvarer/soetstoff/druesukker/urtegaarden-druesukker-500-g,YES,NO,YES,"Ingredienser : Monos akkar id, inneholder min. 99,5% dextrose Er * angitt ved en ingrediens betyr det at denne ingrediensen er 100% økologisk Produktets ingrediensliste, næringsinnhold og emballasje k",YES,NO
NZ,MILK,94152210,https://thegroceryhub.co.nz/products/anchor-blue-full-cream-milk-2l/,YES,NO,NO,,NO,NO
PL,MILK,5900820016296,https://mlekpol.com.pl/index.php/en/produkt/laciate-uht-milk-35-2/,YES,NO,NO,,NO,NO
PL,CREAM,5900512300634,https://mlekovita.com.pl/produkt/smietanka-uht-polska-30-tluszczu-1-l-491,YES,NO,YES,"Składniki: śmietanka , stabilizator: karagen, emulgator E 471. Dane logistyczne Kod EAN-13 Ilustracje do pobrania Opakowanie jednostkowe: 1 L Opakowanie zbiorcze: 12 szt. Kod kreskowy jed.: 5900512300",YES,YES
PL,SMP,5900512500546,https://www.divinebody.pl/pl/p/Mlekovita-Mleko-w-proszku-odtluszczone-instant-250/3244,YES,NO,YES,"składniki odżywcze: pełnowartościowe białko, które m.in. przyczynia się do wzrostu i utrzymania masy mięśniowej oraz pomaga w utrzymaniu zdrowych kości, oraz jest cennym źródłem wapnia niezbędnego dla",YES,YES
PT,MILK,5601049131998,https://www.auchan.pt/pt/alimentacao/produtos-lacteos/leites/leite-uht/leite-mimosa-uht-inteiro-1l/11864.html,YES,NO,YES,Ingredientes/Composi&ccedil;&atilde;o Cont&eacute;m Lactose. Livre de Cereais que cont&ecirc;m gl&uacute;ten. Informa&ccedil;&otilde;es Nutricionais Valores Nutricionais por: 100 Mililitros :N&atilde;,YES,NO
PT,CREAM,5603089007370,https://www.auchan.pt/pt/alimentacao/produtos-lacteos/natas-bechamel-e-chantilly/natas/nata-parmalat-para-bater-500ml/2307302.html,YES,NO,YES,"Ingredientes/Composi&ccedil;&atilde;o NATA (M.G. 30%) (Pa&iacute;s de Ordenha: UE/Pa&iacute;s de Transforma&ccedil;&atilde;o: Portugal), amido modificado, estabilizador: carragenina. Informa&ccedil;&o",YES,NO
PT,SMP,3043932663704,https://www.auchan.pt/pt/alimentacao/produtos-lacteos/leites/leite-em-po/leite-em-po-regilait-magro-250g/3717097.html,YES,NO,YES,Ingredientes/Composi&ccedil;&atilde;o LEITE em p&oacute; magro (Origem: Fran&ccedil;a). Pode conter SOJA. Informa&ccedil;&otilde;es Nutricionais Valores Nutricionais por: 100 Gramas :N&atilde;o Prepar,YES,NO
PT,DEXTROSE,5600985800333,https://www.zumub.com/PT/nutri-ao-desportiva/dextrose/dextrose-1kg-p-9210,YES,NO,YES,Ingredientes Comprar por ingrediente Acetil-L-carnitina Ácido alfa-lipóico Alcachofra Arginina Café Verde Cafeína Cetona de framboesa Coenzima Q10 Colágeno Colina Creatina monohidrato Crómio Espirulin,YES,YES
CH,MILK,7610900041589,https://ofrex.ch/products/1647201013,NO (browser evidence; re-fetch needed),,,,,
CH,DEXTROSE,7640153565938,https://whey-protein.ch/products/dextrose-pulver,YES,NO,YES,"Zutaten Dextrose (Europa). Frei von Zusatzstoffen, tierischen Bestandteilen, Fructose, Süssungsmitteln, Farbstoffen, Aromastoffen. Schweizer Qualität Schweizer Firma Produktentwicklung, Produktion, La",YES,YES
SE,MILK,5709310050303,https://www.chefsculinar.se/sv-se/mat-and-dryck/mejeri-and-gg/mj-lk/mj-lk-3-5-uht-1l-34231043,YES,NO,NO,,YES,YES
SE,CREAM,7311043021192,https://www.delitea.se/dairy-food-gradde-lang-hallbarhet-30-25dl,YES,NO,NO,,YES,YES
SE,SMP,7310100318985,https://www.martinservera.se/produkter/633057/torrmjolk-fettfri-480g,YES,NO,NO,,NO,YES
SE,DEXTROSE,5709286720064,https://www.med24.se/matvaror/socker-sirap-honung/druvsocker/urtegaarden-druvsocker-500-g,YES,NO,YES,"Ingredienser: : Monosackarid, innehåller min. 99,5% dextros Produktens ingredienslista, näringsinnehåll och förpackning kan förändras med tiden. Vi uppdaterar hemsidan regelbundet, men kontrollera all",YES,NO
GB,MILK,5000181024050,https://www.arlafoods.co.uk/brands/arla-cravendale/cravendale-whole-milk-2l/,YES,NO,YES,Ingredients Milk &nbsp; &nbsp; Allergens Contains: milk Nutrition values Energy per 100 G 271 kJ / 65 kcal Fat per 100 G 3.6 g of which is saturated per 100 G 2.3 g Carbohydrate per 100 G 4.7 g of whi,YES,YES
GB,CREAM,5900820000455,https://uk.foodplus.eu/en_GB/p/UHT-Laciata-30-Cream-500ml-Mlekpol/26418,YES,NO,YES,"INGREDIENTS AND ALLERGENS (allergens included in the composition are marked in bold and capital letters): Ingredients: ΓΣΕΑΝ, stabiliser: carrageenan E407. Fat content 30%.Store in a dry, cool place. ",YES,YES
GB,SMP,5060113910714,https://www.templemanrv.co.uk/nutrition-pdf/9501/,YES,NO,NO,,NO,NO
IT,MILK,8002670169607,https://www.carrefour.it/p/granarolo-latte-intero-uht-a-lunga-conservazione-1-l/8002670169607.html,YES,NO,NO,,YES,YES
IT,CREAM,4034900027405,https://www.meggle.it/i-prodotti/panna/panna-da-montare,YES,NO,YES,"Ingredienti Panna (30% grassi), stabilizzante: carragenina (E407). Allergeni: Latte. Il prodotto si conserva a temperatura ambiente. Temperatura di conservazione raccomandata da +4° C a +24° C. Una vo",YES,YES
IT,SMP,8004990133030,https://www.bevandeistantanee.it/products/latte-scremato-in-polvere-ristora,YES,NO,YES,"Ingredienti Latte scremato in polvere istantaneo. Valori Nutrizionali VALORI NUTRIZIONALI Valori medi per 100g Valore energetico 1574KJ - 371Kcal Grassi 1,2 g di cui saturi 0,7 g Carboidrati 56 g di c",NO,YES
DZ,MILK,6130760003592,https://www.taibaoline.com/product/soummam-lait-entier-1-litre/,YES,NO,NO,,NO,NO
AR,MILK,7790742308801,https://www.coto.com.ar/productos/_/A-00253482-00253482-200/;,NO (browser evidence; re-fetch needed),,,,,
AR,SMP,7790742436405,https://www.jumbo.com.ar/leche-en-polvo-descremada-la-serenisima-400-gr/p,YES,NO,YES,"Ingredientes Leche descremada, vitamina a, vitamina d, vitamina b6, vitamina b9, emulsionante (lecitina de soja), leche, derivados de soja Características Destacadas Tipo de Producto Leches en Polvo P",NO,NO
BR,MILK,7898215151708,https://www.covabra.com.br/leite-piracanjuba-integral-1l/p,YES,NO,NO,,NO,NO
BR,CREAM,7898215151975,https://www.lojasantoantonio.com.br/69883-creme-de-leite-gourmet-30--gordura-200ml-piracanjuba/p,YES,NO,NO,,NO,NO
BR,SMP,7891000101506,https://compre.estreladistribuicao.com.br/leite-em-po-molico-desnatado-lata-280g-122947,YES,NO,NO,,NO,NO
BG,SMP,3800081460239,https://randi.bg/suho-mliako-bioset-15-50gr,YES,NO,YES,"Съставки: пълномаслено мляко на прах, емул.. 10.17€ (19.89 лв.) Добави в кошница ""> Добави в кошница Любими Добави в любими Сравни Сравни продукт Бърз преглед 1 бр. Сметанки Айриш Milram 10бр. .... 1.",NO,NO
CL,CREAM,7802900107017,https://super.eltit.cl/products/crema-l-vida-soprole-1lt-p-batir,YES,NO,NO,,NO,NO
CL,SMP,7802920009865,https://www.colun.cl/productos/categoria/detalle/leche-colun-descremada-en-polvo-800gr,YES,NO,YES,"Ingredientes Leche natural descremada y deshidratada. Contenido neto 0.8 Kg Conservación Almacenar en un lugar fresco, limpio y seco. Una vez preparada manténgala en refrigeración y consumir de prefer",NO,NO
HR,CREAM,3850354001348,https://shop.birota.hr/Katalog/RobeView?g=4714,YES,NO,YES,sastojci za kolače (41) riža (10) rolade (8) sijalice (4) sol (7) svijeće (29) tjestenina (43) tjestenina svježa (5) toal.ručnici i salvete (17) ulje (3) začini (55) zaslađivači (1) žvakaće (18) Pekar,NO,NO
HR,DEXTROSE,8588006139983,https://gymbeam.hr/dekstroza-gymbeam.html,YES,NO,YES,Sastojci za kuhanje Ulja Mješavine za kuhanje i pečenje Brašno Ostali sastojci za kuhanje Dijeta BIO proizvodi Veganski proizvodi Proizvodi bez glutena Proizvodi bez laktoze Vegetarijanski proizvodi P,YES,YES
CZ,MILK,8593803224015,https://eshop.agrola.cz/trvanlive/800-mleko-trvanlive-plnot35-8593803224015.html,YES,NO,YES,Složení O značce Madeta Popis Jihočeské trvanlivé mléko si svou výtečnou chuť a kvalitu zachovává po dobu 4 měsíců i při skladování při pokojové teplotě - ideální jako Vaše mléčná zásoba na cesty. Pro,YES,YES
CZ,CREAM,8585002520043,https://globusonline.cz/p/meggle-smetana-ke-slehani-30-tuku-250-ml,YES,NO,YES,"Složení, alergeny a nutriční hodnoty Skladování Varování a informace k použití Výrobce a dodavatel Upozornění Kategorie, ve kterých se produkt nachází Mléčné a chlazené Smetana a šlehačka Smetany ke š",NO,NO
CZ,SMP,8369921447533,https://www.cukrar-shop.cz/Susene-mleko-plnotucne-400g-d2388.htm,YES,NO,YES,Složení: sušené odtučněné MLÉKO. Může obsahovat ... celý popis 38&nbsp;Kč / ks 34&nbsp;Kč bez DPH Přidat do košíku EAN kód: 8369921447533 V oblíbených Do oblíbených Kamenná prodejna Najdete nás v Plzn,YES,NO
CZ,DEXTROSE,8588006139983,https://gymbeam.cz/dextroza-1000-g-gym-beam.html,YES,NO,YES,Složení a dávkování Složení Dextróza (krystalická D-glukóza monohydrát). Dávkování Rozmíchejte 1 dávku (45 g) prášku ve 400 ml vody. Užívejte 1–2krát denně. Upozornění Doplněk stravy. Obsahuje sladidl,YES,YES
DO,MILK,4100290023195,https://www.arla.com/es-do/productos/milex-leche-entera-1l-194976/,YES,NO,YES,"Ingredientes Leche fluida entera de vaca con un contenido de grasa de 3,5%. Contiene proteínas lácteas y lactosa Valores nutricionales Energ&#xED;a por 100 G 273 kJ / 65 kcal Grasas por 100 G 3.6 g de",YES,YES
EG,MILK,6223000350065,https://www.carrefouregypt.com/mafegy/en/full-cream-milk/juhayna-full-cream-milk-1l/p/12721,NO (browser evidence; re-fetch needed),,,,,
EE,CREAM,4740125220049,https://www.valio.ee/tooted/alma-vahukoor-35-400ml/,YES,NO,YES,Koostisosad Rõõsk koor * 35%. * Esile tõstetud koostisosad põhjustavad allergiat ja talumatust. Päritoluriik : Eesti Tootenimi Alma vahukoor 35% 400ml Tootekood 22004 Toote EAN kood 4740125220049 Toot,YES,YES
EE,DEXTROSE,4744130012590,https://iconfit.ee/products/dextrose,YES,NO,YES,"Koostisosad Dekstroosmonohüdraat. Toitumisalane teave 100 g kohta 100g Energia (kJ) 1541 kJ Energia (kcal) 368 kcal Süsivesikud 92g millest suhkrud 91,8g * % NRV = toitainete võrdlusväärtus täiskasvan",YES,NO
GR,CREAM,5711953155949,https://www.arlafoods.gr/our-brands/arla/krema-galaktos-35-200g/,YES,NO,NO,,NO,NO
GR,SMP,3043932643706,https://www.bazaar-online.gr/regilait-250g-gala-se-skoni,YES,NO,NO,,NO,NO
IN,MILK,8901262152983,https://www.billclap.com/business/88521/pp-supermarket/products/1643849/amul-cow-milk-1l,YES,NO,NO,,NO,NO
IN,SMP,8901262110068,https://kiranamarket.com/amul-sagar-skim-milk-powder-500g/,YES,NO,NO,,NO,NO
IS,MILK,5690527101011,https://www.ms.is/vorur/vara/nymjolk-1-l,YES,NO,YES,"Innihald : Nýmjólk . Fitusprengd og gerilsneydd. Vörunúmer : 0101 Næringargildi í 100 g: Orka 280 kJ 67 kcal Fita 3,9 g þar af mettuð 2,3 g Kolvetni 4,7 g þar af sykurtegundir 4,7 g Prótein 3,3 g Salt",YES,YES
IS,CREAM,5690527172011,https://www.ms.is/vorur/vara/rjomi-500-ml,YES,NO,YES,"Innihald : Rjómi 36%, gerilsneyddur. Vörunúmer : 0172 Næringargildi í 100 g: Orka 1.419,0 kJ 344 kcal Fita 36 g þar af mettuð 21 g Kolvetni 2,9 g þar af sykurtegundir 2,9 g Prótein 2,2 g Salt 0,06 g *",YES,YES
IS,SMP,5690516075156,https://www.ms.is/vorur/vara/undanrennuduft-uda-idn-25-kg,YES,NO,YES,"Innihald : Úðaþurrkuð, gerilsneydd undanrenna Vörunúmer : 7515 Næringargildi í 100 g: Orka 1.499,0 kJ 353 kcal Fita 0,8 g þar af mettuð 0,5 g Kolvetni 50 g þar af sykurtegundir 50 g Prótein 37 g Salt ",YES,YES
QA,SMP,3043931691418,https://thegrocer.com.qa/product/regilait-instant-skimmed-milk-powder-non-fat-300g/,YES,NO,YES,Ingredients Syrups &amp; Fillings Flour &amp; Bread Mixes Breakfast Cereals &amp; Bars Cereal Bars Cereals Granola &amp; Museli Oats Protein Bars Dressings &amp; Marinades Ketchups &amp; Mayos Pickles,NO,YES
KE,CREAM,5701215046375,https://artcaffemarket.co.ke/products/emborg-whipping-cream-fat-uht-35-200ml,YES,NO,YES,"Ingredients Honey, Jam & Spreads Cereal & Granola Nuts & Dried Fruit Oils & Vinegars Coffee Culture Teas Cellar Wine Red Wine White Wine Rose Wine Sparkling Wine Liquor & Spirits Beer & Cider Beverage",YES,YES
CO,CREAM,7702177022344,https://www.megatiendas.co/crema-de-leche-alqueria-semientera-x-400-g-7702177022344/p,YES,NO,NO,,NO,NO
CO,SMP,7702129004572,https://www.mercacentro.com/leche-colanta-en-polvo-descremada-slight-380--g/p,YES,NO,NO,,NO,NO
KR,CREAM,3412290032215,https://lottemartzetta.com/products/OS3412290032215/details,YES,NO,YES,"원재료명 및 함량 유크림99.68%,우유단백,카라기난 1-7.영양성분 영양성분표시대상미대상식품 1-8.유전자변형식품에 해당하는 경우의 표시 해당없음 1-9.소비자 안전을 위한 주의사항 개봉후냉장보관하시거나빨리드시기바랍니다 2.수입식품의 경우 “수입식품안전관리 특별법에 따른 수입신고를 필함”의 문구 수입식품안전괸리특별법에따른수입신고를필함 3.소비자 상담 관련",NO,NO
KR,SMP,8801115421078,https://lottemartzetta.com/products/OS8801115421078/details,YES,NO,YES,원재료명 및 함량 탈지유100%(국산) 1-7.영양성분 상세이미지참조 1-8.유전자변형식품에 해당하는 경우의 표시 유무 해당사항없음 1-9.소비자 안전을 위한 주의사항 상세이미지참조 2.수입식품의 경우 “수입식품안전관리 특별법에 따른 수입신고를 필함”의 문구 해당사항없음 3.소비자상담 관련 전화번호 02-3445-3183 취소/환불 안내 ■ 환불 접수 안내,NO,NO
CR,CREAM,7441001604508,https://www.megasuper.com/p/crema-dulce-dos-pinos-250ml-7441001604508,YES,NO,NO,,NO,NO
CR,SMP,7441001612039,https://www.walmart.co.cr/leche-dos-pinos-en-polvo-descremada-400-g-0/p,YES,NO,NO,,NO,NO
LT,MILK,4770265041259,https://www.printera.lt/c/p/pienas-mu-3-5-riebumo-1-l--246813,YES,NO,NO,,NO,NO
LT,DEXTROSE,4744130012590,https://iconfit.lt/en/products/dextrose,YES,NO,YES,"Ingredients Dextrose monohydrate. Nutritional info Per 100 g 100g Energy (kJ) 1541 kJ Energy (kcal) 368 kcal Carbohydrate 92g of which sugars 91,8g * % NRV = nutrient reference value for adults Custom",YES,NO
LU,MILK,5450168511507,https://www.luxlait.lu/en/product/uht-milk/pro,YES,NO,NO,,NO,NO
LU,CREAM,5450168531871,https://www.luxlait.lu/de/produkt/uht-schlagsahne/pro,YES,NO,NO,,NO,NO
LU,SMP,3254560079519,https://auchan.lu/lait-concentre-en-poudre/6749-lait-en-poudre-ecreme-300g-189847.html,YES,NO,YES,"Ingrédients et composition Ingrédients LAIT en poudre écrémé (100%). Traces éventuelles de lécithine de SOJA. Conditions de conservation : A conserver dans un endroit sec et frais. Après ouverture, co",NO,NO
LV,DEXTROSE,4744130012590,https://iconfit.lv/products/dextrose,YES,NO,YES,"Sastāvdaļas Dekstrozes monohidrāts. Uzturvērtība Uz 100 g 100g Enerģētiskā vērtība (kJ) 1541 kJ Enerģētiskā vērtība (kcal) 368 kcal Ogļhidrāti 92g tostarp cukuri 91,8g * % NRV = uzturvielu references ",YES,NO
MY,SMP,9556958338807,https://megakulim.com.my/index.php?product_id=454&route=product%2Fproduct,YES,NO,NO,,NO,NO
MT,MILK,5350066100042,https://savemart.com.mt/product/3578/popup,YES,NO,NO,,NO,NO
MT,SMP,3043939531112,https://savemart.com.mt/product/89655/popup,YES,NO,NO,,NO,NO
MX,MILK,7501055900039,https://onixsuper.com/producto/leche-up-alpura-clasica-1-0-lt/,YES,NO,NO,,NO,NO
MX,CREAM,7501092101031,https://www.cucopanaderos.com.mx/tienda/cremas-/389-crema-p-batir-lyncott-20x500grs-5-0.html,YES,NO,NO,,NO,NO
OM,MILK,6073000051499,https://youshopom.com/en/products/%D9%85%D8%B2%D9%88%D9%86-%D8%AD%D9%84%D9%8A%D8%A8-%D8%B7%D9%88%D9%8A%D9%84-%D8%A7%D9%84%D8%A3%D8%AC%D9%84-%D9%83%D8%A7%D9%85%D9%84-%D8%A7%D9%84%D8%AF%D8%B3%D9%85-1-%D9%84%D8%AA%D8%B1,YES,NO,NO,,NO,NO
PK,MILK,8961008219561,https://zainabfamilymart.com/product/nestle-milk-pak-full-cream-milk-1-liter/,YES,NO,NO,,NO,NO
PK,CREAM,3155253004699,https://alfatah.pk/products/president-whipping-cream-200ml,YES,NO,YES,ingredients Dairy Food & Beverages Snacks & Confectioneries Household & Cleaning Products Kitchenware & Cookware Personal Care & Beauty Products Car Care & Accessories New Born Accessories Baby Food B,NO,NO
ZA,MILK,6001299016158,https://www.checkers.co.za/product/clover-fresh-full-cream-milk-2l-10413121EA,YES,NO,YES,Ingredients Cow&#x27;s Milk Nutritional Information Per 100g/ml Energy: 302kJ Protein: 3.2g Carbohydrates: 4g • Of which total sugar: 3.6g Total fat: 3.5g • Of which saturated fat: 2.2g Dietary fibre:,YES,YES
ZA,CREAM,6001299012082,https://www.evergreenspta.co.za/cream/7455-clover-fresh-cream-250ml.html,YES,NO,NO,,NO,NO
ZA,DEXTROSE,6009705443239,https://my-whey.co.za/products/dextrose-monohydrate-powder,YES,NO,NO,,NO,NO
RO,MILK,5941355000688,https://pacomarket.ro/product/lapte-zuzu-1l-3-5-grasime-2/,YES,NO,YES,"Ingrediente desert Afânatori și arome Blaturi, foietaje, decorațiuni Cacao, lapte praf, frișcă Alune, chips, snacks Alune, Semințe și fistic Chipsuri, pufuleti, popcorn Sticksuri și covrigei Cafea, sp",YES,NO
RO,CREAM,8585002501837,https://www.depozitcc.ro/delicatese/smantana-frisca-unt/frisca/frisca-lichida-30-meggle-uht-200ml-92327.html,YES,NO,NO,,NO,NO
RO,SMP,6426309006538,https://pronat.ro/products/lapte-praf-bio-degresat-1-grasime-250g-pronat,YES,NO,YES,"Ingrediente lapte * praf, fabricat din lapte degresat, proaspăt. *din culturi certificate ecologic. Alergeni: proteine din lapte, lactoză. Valori nutriționale Valori nutritionale medii per 100 g Valoa",YES,NO
RO,DEXTROSE,8588006139983,https://gymbeam.ro/dextroza-1000-g-gymbeam.html,YES,NO,YES,Ingrediente pentru gătit Uleiuri Amestecuri pentru gătit și copt Făină Alte ingrediente pentru gătit Diete Produse BIO Produse vegane Produse fără gluten Produse fără lactoză Produse vegetariene Prote,YES,NO
SG,SMP,8888030307090,https://www.fairprice.com.sg/product/fairprice-instant-skim-milk-powder-600g-13097040,YES,NO,YES,INGREDIENTS Skim milk powder NUTRITIONAL DATA Attributes Per Serving Energy 90kcal Total 0.2g Protein 8.3g Saturated Fat 0.1g Trans Fat 0g Cholesterol 6mg Carbohydrate 13.9g Sugars 13.4g Dietary Fibre,YES,YES
SK,MILK,8585002510037,https://www.office4u.sk/mlieka-a-smotany/19321-trvanlive-mlieko-rajo-plnotucne-35-1--8585002510037.html,YES,NO,NO,,YES,YES
SK,CREAM,8585002520036,https://lcsever.ijednota.sk/produkt/smotna-slah30-250ml,YES,NO,YES,"Zloženie Smotana, Stabilizátor: karagénan, Tuk 30% Alergény Mlieko Obsahuje Alergény sú vyznačené: Tučné Príprava a použitie Šľahajte len vychladené. Pre správny výsledok používajte smotanu vychladenú",YES,YES
SK,DEXTROSE,8588006139983,https://gymbeam.sk/dextroza-gymbeam.html,YES,NO,YES,Zloženie a dávkovanie Zloženie Dextróza (kryštalická D-glukóza monohydrát). Dávkovanie Rozmiešajte 1 dávku (45 g) prášku v 400 ml vody. Užívajte 1–2krát denne. Upozornenie Výživový doplnok. Obsahuje s,YES,YES
SI,MILK,3838800040578,https://online.spar.si/p/alpsko-mleko-polnomastno-35-mm-1l-266388,YES,NO,NO,,NO,YES
SI,CREAM,3838800033754,https://mercatoronline.si/izdelek/5068345/alpska-smetana-za-stepanje-33-m-m-mu-cuisine-500-ml,YES,NO,YES,"Sestavine Kontaktni naslov Hranilne vrednosti Na sliki ali v opisu izdelka so podane predpisane informacije o živilu. Med predpisanimi podatki so tudi variabilni podatki, kot so rok uporabnosti, naved",NO,NO
SI,SMP,3831040010028,https://www.pomurske-mlekarne.si/posneto-mleko-v-prahu/,YES,NO,YES,"Sestavine: posneto mleko v prahu. Povprečna hranilna vrednost na 100 g izdelka: Energijska vrednost 1521 kJ/358 kcal Maščobe 0,4 g Od tega nasičene maščobe 0,3 g Ogljikovi hidrati 53 g Od tega sladkor",YES,NO
